continente,fator_risco,p7,IA21,EPG
America do Sul,1.0,3.086175115207373,0.06032178474654141,0.18616359098967178
America do Sul,1.0,2.8352593642916224,0.06032178474654141,0.1710279050734151
America do Sul,1.0,2.4027196817519396,0.06531080453760874,0.1569235554935664
America do Sul,1.0,2.3789101579424154,0.08572043095561148,0.20392120394350563
America do Sul,1.0,2.192574754215708,0.08730784634367836,0.1914289797380934
America do Sul,1.0,2.0079593696003237,0.10386232110494724,0.20855132081111627
America do Sul,1.0,1.7819089494322558,0.10182135846314697,0.18143638988883135
America do Sul,1.0,1.7904428289338774,0.10817102001541448,0.1936740270850618
America do Sul,1.0,1.762137800628849,0.11202617167214833,0.19740555176322933
America do Sul,1.0,1.9701876872501642,0.11565454970201548,0.22786116979737306
America do Sul,1.0,1.9939972110596884,0.16599829486642223,0.33100013700430975
America do Sul,1.0,2.1803326147863964,0.1662250684932889,0.36242593823102043
America do Sul,1.0,2.096625018035321,0.16599829486642223,0.34803617796814507
America do Sul,1.0,2.031431198572052,0.1614628223290883,0.32800061468880615
America do Sul,1.0,2.046462463603317,0.20182852791136036,0.41303450645491335
America do Sul,1.0,2.2916696373819194,0.20024111252329346,0.4588864777252081
America do Sul,1.0,2.2359396530805067,0.20137498065762693,0.45026230439070813
America do Sul,1.0,2.2359396530805067,0.2712212577325696,0.6064343649226204
America do Sul,1.0,2.2359396530805067,0.2712212577325696,0.6064343649226204
America do Sul,1.0,2.117130682429518,0.26328418079223526,0.5574070173535617
America do Sul,1.0,2.112698950522814,0.24809034779216654,0.5241402174153502
America do Norte,1.0,0.0,0.0,0.0
America do Norte,1.0,0.0,0.0,0.0
America do Norte,1.0,0.0,0.0,0.0
America do Norte,1.0,0.0,0.0,0.0
America do Norte,1.0,0.0,0.0,0.0
America do Norte,1.0,0.0,0.0,0.0
America do Norte,1.0,0.0,0.0,0.0
America do Norte,1.0,0.0,0.0,0.0
America do Norte,1.0,0.0,0.0,0.0
America do Norte,1.0,0.0,0.0,0.0
America do Norte,1.0,0.0,0.0,0.0
America do Norte,1.0,0.0,0.0,0.0
America do Norte,1.0,0.0,0.0,0.0
America do Norte,1.0,0.0,0.0,0.0
America do Norte,1.0,0.0,0.0,0.0
America do Norte,1.0,0.0,0.0,0.0
America do Norte,1.0,0.0,0.0,0.0
America do Norte,1.0,0.0,0.0,0.0
America do Norte,1.0,0.0,0.0,0.0
America do Norte,1.0,0.0,0.0,0.0
America do Norte,1.0,2.160561660561661,,
America do Norte,1.0,1.8662131519274379,,
America do Norte,1.0,1.8241963452047487,,
America do Norte,1.0,1.503353253869854,,
America do Norte,1.0,1.5238747958199672,,
America do Norte,1.0,1.476896194252758,,
America do Norte,1.0,1.4580109128674767,,
America do Norte,1.0,1.385483440340004,,
America do Norte,1.0,1.6436704360685284,,
America do Norte,1.0,1.6856872427912175,,
America do Norte,1.0,2.006530334126112,,
America do Norte,1.0,2.160045073355137,,
America do Norte,1.0,2.163104004250339,,
America do Norte,1.0,2.1236101647564993,,
America do Norte,1.0,2.196137637283972,,
America do Norte,1.0,2.3597193490384414,,
America do Norte,1.0,2.3597193490384414,,
America do Norte,1.0,2.134322523641616,,
America do Norte,1.0,1.9906037027799377,,
America do Norte,1.0,1.9542251650596774,,
America do Norte,1.0,1.9729848254378346,,
America do Norte,1.0,1.923239927478651,,
America do Norte,1.0,2.032083464893617,,
America do Norte,1.0,2.0320834648936166,,
America do Norte,1.0,2.1125223070971653,,
America do Norte,1.0,2.2666030786462907,,
America do Norte,1.0,2.5505655509092446,,
America do Norte,1.0,2.7211031832766563,,
America do Norte,1.0,2.9467409383786967,,
America do Norte,1.0,2.9467409383786967,,
America do Norte,1.0,2.9467409383786967,,
America do Norte,1.0,2.827206167948785,,
America do Norte,1.0,2.726046505141664,,
America do Norte,1.0,2.530196573900582,,
America do Norte,1.0,2.3440139309762493,,
America do Norte,1.0,2.097635453842822,,
America do Norte,1.0,1.8167535450539363,,
America do Norte,1.0,1.6726959220047166,,
America do Norte,1.0,1.8196291518183814,,
America do Norte,1.0,1.8159233348268802,,
America do Norte,1.0,1.9456611984552061,,
America do Norte,1.0,1.93558839598982,,
